Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
42,39038.6279,20147.13155,0.516082,8,V{5.059524%} HD{0.595238%} MRK{19.047619%} KO{19.047619%} CSCO{32.738095%} VZ{3.571429%} AMGN{10.714286%} IBM{9.226190%} ,
43,39059.0462,20147.89192,0.515832,7,HD{0.297619%} MRK{19.047619%} KO{19.047619%} CSCO{33.035714%} VZ{2.678571%} AMGN{10.714286%} IBM{15.178571%} ,
44,39083.13742,20168.34797,0.516037,8,V{4.664723%} MRK{18.658892%} KO{18.658892%} CSCO{34.693878%} MCD{2.332362%} VZ{2.623907%} AMGN{10.495627%} IBM{7.871720%} ,
45,39113.41591,20181.18703,0.515966,8,V{5.588235%} MRK{19.117647%} KO{18.823529%} CSCO{32.941176%} VZ{3.529412%} AMGN{10.588235%} HON{0.294118%} IBM{9.117647%} ,
46,39117.7707,20233.55885,0.517247,6,MRK{19.104478%} KO{19.104478%} CSCO{33.134328%} VZ{2.686567%} AMGN{10.746269%} IBM{15.223881%} ,
47,39164.39008,20234.38837,0.516653,7,V{9.014085%} MRK{19.154930%} KO{18.028169%} CSCO{33.239437%} VZ{2.253521%} AMGN{10.140845%} IBM{8.169014%} ,
48,39179.87027,20271.15905,0.517387,9,V{0.297619%} HD{0.595238%} MRK{19.047619%} KO{19.047619%} CSCO{35.119048%} MCD{2.380952%} VZ{3.571429%} AMGN{10.714286%} IBM{9.226190%} ,
49,39212.57084,20364.71516,0.519341,7,MRK{19.161677%} KO{19.461078%} CSCO{35.628743%} MCD{2.994012%} VZ{2.694611%} AMGN{10.778443%} IBM{9.281437%} ,
50,39222.3998,20555.06255,0.524064,7,V{4.833837%} MRK{19.335347%} KO{19.335347%} CSCO{33.534743%} VZ{2.719033%} AMGN{10.876133%} IBM{9.365559%} ,
51,39256.8855,20608.71757,0.524971,7,V{4.848485%} MRK{19.393939%} KO{19.393939%} CSCO{33.636364%} VZ{2.424242%} AMGN{10.909091%} IBM{9.393939%} ,
52,39318.63042,20663.60137,0.525542,7,V{4.863222%} MRK{19.452888%} KO{19.452888%} CSCO{33.738602%} VZ{2.431611%} AMGN{10.942249%} IBM{9.118541%} ,
53,39404.33734,20677.30327,0.524747,7,V{5.471125%} MRK{19.452888%} KO{19.452888%} CSCO{33.738602%} VZ{2.735562%} AMGN{10.942249%} IBM{8.206687%} ,
54,39447.19671,20698.64347,0.524718,8,V{1.543210%} HD{0.617284%} MRK{19.753086%} KO{19.753086%} CSCO{33.950617%} VZ{3.703704%} AMGN{11.111111%} IBM{9.567901%} ,
